title,image,summary,slug,syllabus,affiliates,tags,tracks,level,provider
Start Writing Fiction,https://view.vzaar.com/2648205/image,"On this online course, established writers – including Louis de Bernières, Patricia Duncker, Alex Garland, Abdulrazak Gurnah, Tim Pears, Michèle Roberts and Monique Roffey – will talk about how they started writing.",https://www.futurelearn.com/courses/start-writing-fiction?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-O0cWOPUvmOJJGCy4FqkUMQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Understanding the GDPR,https://view.vzaar.com/11619126/image,"On 25 May 2018, the General Data Protection Regulation (GDPR), aiming to improve data protection for individuals across the EU, became directly applicable. Now, organisations need to be compliant with the new rules and should act immediately.",https://www.futurelearn.com/courses/general-data-protection-regulation?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-b2rdahMmldoq755TKng7Lw,nan,[],[],[],Beginner/Intermediate,FutureLearn
Forensic Facial Reconstruction: Finding Mr. X,https://view.vzaar.com/8686651/image,"On Saturday 22 January 2000, two men found a small holdall, abandoned on an industrial estate in the north of Sheffield. Upon opening the bag they made a gruesome discovery. A badly decomposed body.",https://www.futurelearn.com/courses/forensic-facial-reconstruction?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-BCx2nXoBIRPDjFCofg9dGA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Anatomy: Know Your Abdomen,https://view.vzaar.com/5706653/image,This course will help you identify the positions of organs within the abdomen and will introduce you to common anatomical terminology.,https://www.futurelearn.com/courses/anatomy-know-your-abdomen?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-s9vqOA2pgnOprX6Tu0tMvA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Discover Dentistry,https://view.vzaar.com/8720172/image,Ever wondered what all those letters and numbers a dentist calls out during your check-up mean? Or how broken teeth are fixed? Join Professor Christopher Stokes from the School of Clinical Dentistry at The University of Sheffield on a learning journey to explore the dental profession and the impact dentistry has on all our lives.,https://www.futurelearn.com/courses/discover-dentistry?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-whkLhiLAdKs1qqFYPn6ygA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Introduction to Cyber Security,https://view.vzaar.com/3488942/image,"This online course will help you understand online security and protect your digital life, whether at home or work.",https://www.futurelearn.com/courses/introduction-to-cyber-security?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-49A.ywaXXumSVXh6i5UltQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Empire: the Controversies of British Imperialism,https://view.vzaar.com/4483092/image,"Over six weeks, we’ll explore the British Empire through six themes - money, violence, race, religion, gender and sex, and propaganda. You’ll get to hear the stories of the fascinating individuals who contributed to both its rise and fall.",https://www.futurelearn.com/courses/empire?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-YRkfJBsbKEklFPVcZ.bZqQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Forensic Psychology: Witness Investigation,https://view.vzaar.com/2340401/image,"Despite advances in forensic science, eyewitness testimony remains a critical component of criminal investigations. But psychological research has revealed the dangers of relying on this testimony and how careful the police must be when questioning witnesses.",https://www.futurelearn.com/courses/forensic-psychology?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-F4ZMCiMFqWLjGSPK3x.wow,nan,[],[],[],Beginner/Intermediate,FutureLearn
Young People and Their Mental Health,https://view.vzaar.com/11783980/image,"Mental health problems often develop during the teenage period. As many as 1 out of 5 teenagers are dealing with these problems. Therefore, it is important that you know how to recognise common mental health problems, know how they arise, what you can do to prevent them and what you should do when you actually suffer from them. This course, designed specifically for young people, will help you find out more.",https://www.futurelearn.com/courses/young-people-mental-health?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-TkqVEhjRkqfFS9LH6wc5oQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Starting a Business 1: Vision and Opportunity,https://view.vzaar.com/5643787/image,"A successful business starts with a clear vision and a thorough understanding of the opportunities available to turn that vision into a reality. Whether you have an idea for a future venture or you already have a side-line business whilst studying, this course will help you consider your vision and explore the opportunities available. It will give you the time to plan and help you to start documenting your thoughts in a structured business plan while allowing you to share your ideas with others.",https://www.futurelearn.com/courses/starting-a-business-1?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-aElNBXiMNVkyJ0PD86khGQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
England in the Time of King Richard III,https://view.vzaar.com/6483722/image,The discovery of the skeleton of Richard III in a Leicester car park - and the recent revelations of an infidelity within his family’s bloodline - have made headline news around the world.,https://www.futurelearn.com/courses/england-of-richard-third?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-IQjYeDGN06uGDp.47iBm4A,nan,[],[],[],Beginner/Intermediate,FutureLearn
Religion and Conflict,https://view.vzaar.com/3022180/image,"Many conflicts in the world today are framed in terms of religion, but there is much discussion and confusion concerning the precise role religion plays in these conflicts. According to some, conflict and violence are inherent to religion. Others claim that religion is only the guise under which social, economic or political conflicts are fought out. The first step to solving religiously framed conflicts is understanding the role of religion in them, and that is what this free online course is about.",https://www.futurelearn.com/courses/religion-and-conflict?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-auZS3GtvGj1AMgRxT9a9.Q,nan,[],[],[],Beginner/Intermediate,FutureLearn
"Education for All: Disability, Diversity and Inclusion",https://view.vzaar.com/6187241/image,Millions of children around the world are excluded from access to education because of a disability - robbing them of their potential and diminishing our society.,https://www.futurelearn.com/courses/education-for-all?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-GM0ojOtgJX8y3YWHLqjOJw,nan,[],[],[],Beginner/Intermediate,FutureLearn
Logical and Critical Thinking,https://view.vzaar.com/4129686/image,"We are constantly being given reasons to do and believe things: to believe that we should buy a product, support a cause, accept a job, judge someone innocent or guilty, that fairness requires us to do some household chore, and so on. Assessing the reasons we are given to do or believe these things calls upon us to think critically and logically.",https://www.futurelearn.com/courses/logical-and-critical-thinking?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-ZOm3g6KQVEAj056r_8nCzQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Introduction to Frisian,https://view.vzaar.com/7390795/image,"Did you know that, besides Dutch, a second official language is spoken in the Netherlands? It’s a language even more closely related to English than Dutch. This language is called Frisian.",https://www.futurelearn.com/courses/frisian?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-lVoMqBmNbowZ0pFFA7QS4Q,nan,[],[],[],Beginner/Intermediate,FutureLearn
Manage Your Prices: an Introduction to Pricing Strategy and Revenue Management,https://view.vzaar.com/8531633/image,"How do airlines, hotels, resorts and other organisations manage their prices? Why are these prices apparently unrelated to costs and different for each consumer? And what are the underlying reasons and processes behind these prices?",https://www.futurelearn.com/courses/pricing-strategy-revenue-management?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-jCsIldmO6bgfRTv7WrsLyg,nan,[],[],[],Beginner/Intermediate,FutureLearn
World War 1: A History in 100 Stories,https://view.vzaar.com/11259281/image,"The Gallipoli Campaign was Australia and New Zealand’s first major military engagement of World War 1. The Anzacs went on to fight in Palestine, Egypt and the Western Front and suffered one of the highest casualty rates of any allied army.",https://www.futurelearn.com/courses/ww1-stories?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-isIEtd4w43Yc.dBVCqXwqw,nan,[],[],[],Beginner/Intermediate,FutureLearn
