title,image,summary,slug,syllabus,affiliates,tags,tracks,level,provider
Making Science and Engineering Pictures: A Practical Guide to Presenting Your Work,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AMITx%2B0.111x%2B2T2015,nan,[],[],[],beginner/intermediate,edX
Evolution of the Human Sociality: A Quest for the Origin of Our Social Behavior,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AKyotoUx%2B000x%2B2T2016,nan,[],[],[],beginner/intermediate,edX
Evolution of the Human Sociality: A Quest for the Origin of Our Social Behavior,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AKyotoUx%2B000x%2B3T2017,nan,[],[],[],beginner/intermediate,edX
The Chemistry of Life,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AKyotoUx%2B001x%2B1T2016,nan,[],[],[],beginner/intermediate,edX
The Chemistry of Life,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AKyotoUx%2B001x%2B1T2017,nan,[],[],[],beginner/intermediate,edX
The Chemistry of Life,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AKyotoUx%2B001x%2B1T2018,nan,[],[],[],beginner/intermediate,edX
The Chemistry of Life,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AKyotoUx%2B001x%2B2T2015,nan,[],[],[],beginner/intermediate,edX
MongoDB Basics,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AMongoDBx%2B001x%2B2T2018,nan,[],[],[],beginner/intermediate,edX
Delete,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=course-v1%3AMongoDBx%2B001x%2B2T2018a,nan,[],[],[],beginner/intermediate,edX
Medicinal Chemistry,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=DavidsonX%2F001x%2F1T2014,nan,[],[],[],beginner/intermediate,edX
The Chemistry of Life,https://www.edx.org/sites/default/files/theme/edx-logo-header.png,no summary,https://courses.edx.org/api/courses/v1/blocks/?course_id=KyotoUx%2F001x%2F1T2014,nan,[],[],[],beginner/intermediate,edX
