title,image,summary,slug,syllabus,affiliates,tags,tracks,level,provider
The Future of Farming: Exploring Climate Smart Agriculture,https://view.vzaar.com/8670238/image,Global warming is a reality so it’s vital our societies and industries respond to the changing climate. Can farming meet this challenge?,https://www.futurelearn.com/courses/climate-smart-agriculture?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-y5FY.CKWRza91n8tF6r1dA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Supercomputing,https://view.vzaar.com/8721888/image,"Today’s supercomputers are the most powerful calculating machines ever invented, capable of performing more than a thousand million million calculations every second. This gives scientists and engineers a powerful new tool to study the natural world – computer simulation.",https://www.futurelearn.com/courses/supercomputing?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-2QxTU1tLuMCUAzEHfxBzKg,nan,[],[],[],Beginner/Intermediate,FutureLearn
More Data Mining with Weka,https://view.vzaar.com/9718821/image,"This course introduces advanced data mining skills, following on from Data Mining with Weka. You’ll process a dataset with 10 million instances. You’ll mine a 250,000-word text dataset. You’ll analyze a supermarket dataset representing 5000 shopping baskets. You’ll learn about filters for preprocessing data, selecting attributes, classification, clustering, association rules, cost-sensitive evaluation. You’ll meet learning curves and automatically optimize learning parameters. Weka originated at the University of Waikato in NZ, and Ian Witten has authored a leading book on data mining.",https://www.futurelearn.com/courses/more-data-mining-with-weka?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-5DIlRt3CpUfKa1vs7ZB3yw,nan,[],[],[],Beginner/Intermediate,FutureLearn
The Role of Personal Assistants in Disability Support,https://view.vzaar.com/14317952/image,"Disabled people can now receive funding from their local authority to employ a personal assistant. While this gives them more personalised care in their own home, it also turns them into an employer.",https://www.futurelearn.com/courses/personal-assistants-disability-support?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-nMAt5WYCVfpnyOeb0SxJ.w,nan,[],[],[],Beginner/Intermediate,FutureLearn
Understanding Energy Storage: The Battery Revolution,https://view.vzaar.com/14707383/image,"With more energy coming from renewable sources and a rising demand for stable energy supply, the world needs flexible energy storage. Batteries might be the answer.",https://www.futurelearn.com/courses/energy-storage?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-cp3frQ8gCo4dev4GXngeMA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Introduction to Building Information Modelling,https://view.vzaar.com/14707383/image,"Building Information Modelling (BIM) is a process that encourages collaborative working. Why is it important? Why is the industry looking towards BIM and what historical issues does it aim to relieve? This course will help you develop a better understanding of BIM, the role it plays within the industry, and act as a gateway to further study in Construction Management and BIM.",https://www.futurelearn.com/courses/building-information-modelling?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-8LEg8tNadqRrHNhqqmEazw,nan,[],[],[],Beginner/Intermediate,FutureLearn
An Introduction to the Assessment of People at Work,https://view.vzaar.com/14707383/image,Why do we assess people at work? How do we do it?,https://www.futurelearn.com/courses/introduction-to-assessment-of-people-at-work?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-dsY7iW4qPG5fIe_zn8zUQA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Cultural Diplomacy,https://view.vzaar.com/15396647/image,What does cultural diplomacy mean? How does it work in practice? What effect does it have in today’s world? Get the answers with this introduction to cultural diplomacy.,https://www.futurelearn.com/courses/cultural-diplomacy?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-Q5eeCATet1BshYuy_s6SOw,nan,[],[],[],Beginner/Intermediate,FutureLearn
Improving Your Image: Dental Photography in Practice,https://view.vzaar.com/2925747/image,"This course will cover all aspects of the use of digital photography in dental practice: intra-oral, extra-oral, and portraits. You will be taken from the basics of choosing correct equipment and setting it up, to optimum settings, techniques for consistent imaging and the safe storage of images.",https://www.futurelearn.com/courses/dental-photography-in-practice?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-aIfH0FWm45NJQOncKv11zQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
"Crime, Justice and Society",https://view.vzaar.com/9131994/image,What should the role of the police be? How do victims experience criminal justice? Are there alternative responses to crime instead of prosecution and conviction?,https://www.futurelearn.com/courses/crime-justice-society?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-ti7dPa__pnD8HU3u04DhxQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
An Introduction to Financial Management in Construction,https://view.vzaar.com/9131994/image,Which projects should a firm or individual invest their money? How can you find out a company’s profit at the end of the year? How should this investment be financed? How can you tell how healthy a company is?,https://www.futurelearn.com/courses/introduction-to-financial-management-in-construction-and-basic-accounting-conventions?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-jYnzTKtjXNWuu0n8NV5wUA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Mario Botta: To Be an Architect,https://view.vzaar.com/15132431/image,Get an introduction to the architecture of Mario Botta - one of the most famous contemporary architects - with this online course from USI Università della Svizzera italiana.,https://www.futurelearn.com/courses/mario-botta-architect?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-30lts2zfheId6rOa3Pc4_w,nan,[],[],[],Beginner/Intermediate,FutureLearn
The Power of Data in Health and Social Care,https://view.vzaar.com/13743651/image,"Data can be powerful in health and social care. It can be used to develop new services, influence strategies, inform budget decisions and optimise processes and policy.",https://www.futurelearn.com/courses/data-for-health-and-care?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-77HdvCG2iFXj2Kq4pclvfA,nan,[],[],[],Beginner/Intermediate,FutureLearn
Inspiring Young People In STEM: Resources and Diversity,https://view.vzaar.com/12389202/image,"Increasing diversity in science, technology, engineering and mathematics is vital, it’s the only way STEM industries can ensure they are addressing the full range of the world’s problems. So how do we improve diversity? One answer: working with young people.",https://www.futurelearn.com/courses/stem-volunteering-resourcing-diversity?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-0GLFNz6LKSNDa07whrh2yQ,nan,[],[],[],Beginner/Intermediate,FutureLearn
Managing My Money for Young Adults,https://view.vzaar.com/12389202/image,"Despite the introduction of mandatory personal finance education in UK secondary schools, those aged 18-24 are one of the age groups most likely to be in debt – representing over a fifth of the UK’s debt-burdened population.",https://www.futurelearn.com/courses/managing-my-money-young-adults?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-s_kxaZSPHoI5.2WNqE1RLg,nan,[],[],[],Beginner/Intermediate,FutureLearn
Robotic Vision: Processing Images,https://view.vzaar.com/12389202/image,"Programming a robot to see requires knowing the principles of vision, mathematical knowledge and programming skills. We explore how computers process images, learning the operations required to process an image using MATLAB.",https://www.futurelearn.com/courses/robotic-vision-processing-images?utm_campaign=Courses+feed&utm_medium=courses-feed&utm_source=courses-feed&utm_source=RakutenMarketing&utm_medium=Affiliate&utm_campaign=3347507:Class+Central&utm_content=10:1&utm_term=UKNetwork&ranMID=42801&ranEAID=SAyYsTvLiGQ&ranSiteID=SAyYsTvLiGQ-pNcB8T6ZXpbMima8G41u2Q,nan,[],[],[],Beginner/Intermediate,FutureLearn
